name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Bret Boone,boonb002,1969-04-06,El Cajon,CA,USA,R,R,70,180,,14,0.789,1780,6683,1775,252,1021,552,20.68,boona001,Aaron Boone,Brother
Bret Boone,boonb002,1969-04-06,El Cajon,CA,USA,R,R,70,180,,14,0.789,1780,6683,1775,252,1021,552,20.68,allen002,Nick Allen,Father-in-Law
Bret Boone,boonb002,1969-04-06,El Cajon,CA,USA,R,R,70,180,,14,0.789,1780,6683,1775,252,1021,552,20.68,boonb001,Bob Boone,Son
Bret Boone,boonb002,1969-04-06,El Cajon,CA,USA,R,R,70,180,,14,0.789,1780,6683,1775,252,1021,552,20.68,boonr101,,Grandson
Brett Pill,pillb001,1984-09-09,San Dimas,CA,USA,R,R,76,225,,3,0.683,111,240,56,9,32,13,0.65,pillt001,,Brother
Brett Sullivan,sullb102,1994-02-22,Stockton,CA,USA,L,R,73,195,,3,0.541,43,103,21,2,10,6,0.01,sullb103,,Father
Brian Doyle,doylb101,1954-01-26,Glasgow,KY,USA,L,R,70,160,,4,0.392,110,199,32,1,13,10,-1.15,doylb801,Brenton Doyle,Brother
Brian Doyle,doylb101,1954-01-26,Glasgow,KY,USA,L,R,70,160,,4,0.392,110,199,32,1,13,10,-1.15,doyld102,Denny Doyle,Brother
Brian Giles,gileb002,1960-04-27,Manhattan,KS,USA,R,R,73,165,,6,0.607,287,709,162,10,50,70,1.32,gilem001,Marcus Giles,Brother
Brian Johnson,johnb102,1968-01-08,Oakland,CA,USA,R,R,74,210,,8,0.854,471,1415,351,49,196,80,1.8,johnr102,Randy Johnson,Brother
Brian McRae,mcrab001,1967-08-27,Bradenton,FL,USA,B,R,72,175,,10,0.93,1354,5114,1336,103,532,488,11.55,mcrah001,Hal McRae,Son
Brian Turang,turab001,1967-06-14,Long Beach,CA,USA,R,R,70,170,,2,0.612,78,252,56,1,15,24,-0.36,turab002,Brice Turang,Father
Brice Matthews,mattb101,2002-03-16,Houston,TX,USA,R,R,71,190,,1,0.674,13,42,7,4,9,2,0.34,mattw101,,Son
Brice Turang,turab002,1999-11-21,Corona,CA,USA,L,R,72,176,,3,0.693,448,1547,398,31,172,154,11.8,turab001,Brian Turang,Son
Brock Stassi,stasb001,1989-08-07,Sacramento,CA,USA,L,L,73,190,,1,0.573,51,78,13,2,7,12,-0.26,stasm001,Max Stassi,Brother
Bronson Sardinha,sardb001,1983-04-06,Honolulu,HI,USA,L,R,73,220,,1,0.75,10,9,3,0,2,2,-0.01,sardd001,Dane Sardinha,Brother
Brooks Kieschnick,kiesb001,1972-06-06,Robstown,TX,USA,L,R,76,225,,4,0.702,113,173,38,8,27,19,-0.63,kiesr001,Roger Kieschnick,Uncle
Brooks Robinson,robib102,1937-05-18,Little Rock,AR,USA,R,R,73,180,HOF,10,0.685,1332,4808,1211,112,608,426,35.51,robid102,Dave Robinson,Brother
Bruce Benedict,beneb001,1955-08-18,Birmingham,AL,USA,R,R,73,175,,12,0.619,982,2878,696,18,260,328,7.32,beneg801,,Father
Bruce Bochte,bochb002,1950-11-12,Pasadena,CA,USA,L,L,75,195,,12,0.824,1538,5233,1478,100,658,653,21.5,bochb003,Bruce Bochy,Father
Bruce Bochy,bochb003,1955-04-16,Landes de Bussac,Nouvelle-Aquitaine,France,R,R,75,205,,9,0.685,358,802,192,26,93,67,2.29,bochb002,Bruce Bochte,Son
Bruce Fields,fielb001,1960-10-06,Cleveland,OH,USA,L,R,72,185,,3,0.681,58,113,31,1,11,5,-0.19,field001,Daniel Fields,Father
Bruce Look,lookb101,1943-06-09,Lansing,MI,USA,L,R,71,183,,1,0.633,59,118,29,0,9,20,0.27,lookd101,,Brother
Bruce Miller,millb110,1947-03-04,Fort Wayne,IN,USA,R,R,73,185,,4,0.576,196,553,136,1,51,30,-0.91,millr102,Rick Miller,Brother
